date,reason,duration,affiliation,status
2/17/2023,Research,0.5,Medicine,Student
2/15/2023,Class Assignment,0.5,Nursing,Student
2/14/2023,Class Assignment,0.5,Nursing,Student
2/14/2023,Class Assignment,0.5,Nursing,Student
2/14/2023,Class Assignment,0.5,Nursing,Student
2/14/2023,Research,0.25,Medicine,Staff
2/14/2023,Research,0.25,Medicine,Student
2/13/2023,Class Assignment,0.75,Nursing,Student
2/13/2023,Research,0.25,Nursing,Student
2/10/2023,Research,0.5,Nursing,Student
2/10/2023,Research,0.5,Nursing,Student
2/10/2023,Research,0.5,Nursing,Student
2/10/2023,Research,0.5,Nursing,Student
2/10/2023,Research,0.5,Nursing,Student
2/9/2023,Class Assignment,0.25,Nursing,Student
2/9/2023,Research,0.25,Nursing,Student
2/9/2023,Class Assignment,0.75,Nursing,Student
2/9/2023,Class Assignment,0.5,Nursing,Student
2/3/2023,Class Assignment,0.5,Nursing,Student
2/3/2023,Class Assignment,0.25,Nursing,Student
2/3/2023,Research,0.25,Nursing,Faculty
2/2/2023,Class Assignment,0.75,Nursing,Student
2/1/2023,Grant-Related,1,Medicine,Faculty
1/31/2023,Research,0.5,Medicine,Faculty
1/31/2023,Research,1,Nursing,Student
1/31/2023,Research,0.5,Medicine,Faculty
1/31/2023,Class Assignment,0.25,Nursing,Student
1/30/2023,Grant-Related,0.5,Nursing,Faculty
1/26/2023,Grant-Related,0.75,Medicine,Faculty
1/24/2023,Class Assignment,0.5,Nursing,Student
1/24/2023,Class Assignment,0.5,Nursing,Student
1/24/2023,Research,0.5,Medicine,Faculty
1/24/2023,Grant-Related,0.25,Medicine,Faculty
1/23/2023,Research,0.5,Pharmacy,Student
1/23/2023,Class Assignment,0.5,Nursing,Student
1/23/2023,Class Assignment,0.5,Nursing,Student
1/20/2023,Grant-Related,0.5,Medicine,Faculty
1/20/2023,Research,1,Nursing,Faculty
1/19/2023,Grant-Related,0.75,Dental,Faculty
1/19/2023,Research,0.5,Medicine,Faculty
1/19/2023,Research,0.25,Medicine,Faculty
1/19/2023,Research,0.5,Nursing,Student
1/18/2023,Grant-Related,0.75,Nursing,Faculty
1/18/2023,Grant-Related,0.5,Dental,Faculty
1/17/2023,Research,0.5,Medicine,Faculty
1/10/2023,Research,0.5,UMMC,Staff
1/10/2023,Grant-Related,1,Medicine,Faculty
1/10/2023,Class Assignment,0.25,Pharmacy,Student
1/10/2023,Research,0.75,Pharmacy,Student
1/9/2023,Grant-Related,0.75,Medicine,Staff
1/9/2023,Research,1,Medicine,Faculty
1/6/2023,Research,0.5,Nursing,Student
1/5/2023,Research,0.5,Nursing,Student
1/3/2023,Research,1,Medicine,Faculty
12/22/2022,Class Assignment,0.25,Nursing,Student
12/21/2022,Research,0.5,Medicine,Faculty
12/19/2022,Research,0.5,Medicine,Faculty
12/15/2022,Research,0.5,Nursing,Staff
12/14/2022,Research,0.5,Social Work,Faculty
12/8/2022,Research,1,Dental,Faculty
12/7/2022,Class Assignment,0.5,Nursing,Student
12/7/2022,Class Assignment,0.5,Nursing,Student
12/6/2022,Other,1,Pharmacy,Student
12/1/2022,Class Assignment,0.5,Nursing,Student
11/30/2022,Other,1,Medicine,Faculty
11/29/2022,Other,1,Pharmacy,Student
11/22/2022,Other,0.5,Nursing,Student
11/21/2022,Class Assignment,0.75,Nursing,Student
11/21/2022,Class Assignment,0.5,Nursing,Student
11/21/2022,Class Assignment,0.5,Nursing,Student
11/18/2022,Research,0.25,Dental,Faculty
11/18/2022,Research,0.5,Nursing,Faculty
11/16/2022,Research,0.25,Medicine,Faculty
11/15/2022,Class Assignment,0.75,Nursing,Student
11/15/2022,Class Assignment,1,Graduate School,Student
11/15/2022,Research,1,Nursing,Staff
11/14/2022,Class Assignment,0.75,Nursing,Student
11/11/2022,Class Assignment,0.5,Nursing,Student
11/11/2022,Research,1.25,Medicine,Staff
11/9/2022,Class Assignment,0.5,Nursing,Student
11/8/2022,Research,0.5,Nursing,Faculty
11/8/2022,Class Assignment,0.5,Nursing,Student
11/7/2022,Class Assignment,0.25,Nursing,Student
11/2/2022,Research,0.5,Medicine,Faculty
11/2/2022,Class Assignment,0.5,Nursing,Student
11/1/2022,Class Assignment,0.5,Nursing,Student
11/1/2022,Research,0.25,Nursing,Student
10/31/2022,Research,0.75,Pharmacy,Student
10/28/2022,Research,1,Medicine,Staff
10/28/2022,Class Assignment,0.5,Nursing,Student
10/28/2022,Class Assignment,1,Nursing,Student
10/27/2022,Research,1,Medicine,Staff
10/27/2022,Class Assignment,0.5,Nursing,Student
10/27/2022,Class Assignment,0.5,Nursing,Student
10/27/2022,Class Assignment,0.5,Social Work,Student
10/26/2022,Class Assignment,0.5,Nursing,Student
10/26/2022,Class Assignment,0.5,Nursing,Student
10/25/2022,Class Assignment,0.5,Social Work,Student
10/25/2022,Class Assignment,1,Nursing,Student
10/20/2022,Class Assignment,0.75,Nursing,Student
10/19/2022,Class Assignment,1,Nursing,Student
10/18/2022,Research,0.5,Social Work,Faculty
10/18/2022,Class Assignment,0.5,Nursing,Student
10/17/2022,Class Assignment,0.5,Nursing,Student
10/14/2022,Class Assignment,0.5,Nursing,Student
10/14/2022,Class Assignment,0.5,Nursing,Student
10/13/2022,Class Assignment,0.25,Nursing,Student
10/13/2022,Class Assignment,0.5,Nursing,Student
10/13/2022,Research,0.45,Medicine,Student
10/12/2022,Class Assignment,0.5,Social Work,Student
10/12/2022,Class Assignment,0.75,Nursing,Student
10/12/2022,Class Assignment,0.5,Nursing,Student
10/12/2022,Class Assignment,0.5,Nursing,Student
10/11/2022,Class Assignment,0.5,Nursing,Student
10/11/2022,Class Assignment,0.5,Nursing,Student
10/7/2022,Class Assignment,0.5,Nursing,Student
10/7/2022,Research,0.25,Nursing,Student
10/7/2022,Research,0.25,Graduate School,Student
10/7/2022,Class Assignment,0.25,Nursing,Student
10/7/2022,Class Assignment,0.25,Nursing,Student
10/7/2022,Class Assignment,0.25,Nursing,Student
10/7/2022,Class Assignment,0.75,Nursing,Student
10/6/2022,Research,1,Medicine,Staff
10/6/2022,Research,0.75,Pharmacy,Student
10/6/2022,Research,0.5,Medicine,Student
10/6/2022,Research,0.75,Nursing,Student
10/6/2022,Class Assignment,0.5,Nursing,Student
10/5/2022,Research,0.5,Social Work,Staff
10/5/2022,Class Assignment,1,Social Work,Student
10/5/2022,Other,1,Graduate School,Faculty
10/4/2022,Class Assignment,1,Graduate School,Student
10/4/2022,Class Assignment,0.5,Nursing,Student
10/3/2022,Research,0.5,Medicine,Student
10/3/2022,Class Assignment,0.75,Graduate School,Student
10/3/2022,Class Assignment,0.75,Social Work,Student
10/3/2022,Research,1,Dental,Faculty
10/3/2022,Class Assignment,1,Dental,Student
9/30/2022,Research,0.25,Other,Staff
9/30/2022,Class Assignment,0.5,Nursing,Student
9/30/2022,Research,0.25,Graduate School,Student
9/30/2022,Class Assignment,1,Nursing,Student
9/30/2022,Class Assignment,1,Nursing,Student
9/29/2022,Class Assignment,1,Nursing,Student
9/29/2022,Class Assignment,0.5,Nursing,Student
9/28/2022,Research,0.25,Nursing,Staff
9/28/2022,Class Assignment,0.5,Nursing,Student
9/27/2022,Research,0.5,Medicine,Staff
9/27/2022,Research,1,Nursing,Student
9/27/2022,Research,1,Dental,Student
9/26/2022,Class Assignment,0.5,Nursing,Student
9/26/2022,Class Assignment,0.5,Graduate School,Student
9/26/2022,Class Assignment,0.25,Nursing,Student
9/23/2022,Research,0.25,Nursing,Student
9/23/2022,Class Assignment,0.75,Nursing,Student
9/23/2022,Research,0.5,Nursing,Student
9/23/2022,Research,0.5,Pharmacy,Student
9/23/2022,Research,0.5,Pharmacy,Student
9/22/2022,Class Assignment,0.75,Nursing,Student
9/22/2022,Research,0.5,Medicine,Faculty
9/22/2022,Research,0.25,Nursing,Student
9/21/2022,Other,0.5,Social Work,Staff
9/21/2022,Research,1,Dental,Other
9/20/2022,Class Assignment,0.75,Nursing,Student
9/20/2022,Other,0.5,Nursing,Faculty
9/20/2022,Class Assignment,1,Nursing,Student
9/19/2022,Class Assignment,0.5,Nursing,Student
9/19/2022,Class Assignment,0.5,Nursing,Student
9/19/2022,Research,1,Nursing,Student
9/19/2022,Class Assignment,0.5,Nursing,Student
9/16/2022,Class Assignment,0.25,Nursing,Student
9/15/2022,Class Assignment,0.25,Social Work,Student
9/15/2022,Class Assignment,0.5,Nursing,Faculty
9/13/2022,Other,1,Nursing,Other
9/13/2022,Research,0.5,Social Work,Faculty
9/13/2022,Class Assignment,0.5,Nursing,Student
9/12/2022,Research,1,Medicine,Student
9/12/2022,Class Assignment,0.75,Nursing,Student
9/12/2022,Class Assignment,0.25,Nursing,Student
9/12/2022,Class Assignment,0.5,Nursing,Student
9/12/2022,Other,0.5,Social Work,Staff
9/9/2022,Research,1.5,Social Work,Other
9/9/2022,Research,0.5,Nursing,Student
9/7/2022,Class Assignment,0.75,Nursing,Student
9/7/2022,Class Assignment,0.45,Nursing,Student
9/7/2022,Class Assignment,1,Social Work,Student
9/7/2022,Class Assignment,0.5,Nursing,Student
9/7/2022,Class Assignment,0.45,Nursing,Student
9/7/2022,Class Assignment,0.5,Nursing,Student
9/6/2022,Research,1,Dental,Faculty
9/6/2022,Class Assignment,0.5,Nursing,Student
9/6/2022,Class Assignment,0.5,Nursing,Student
9/6/2022,Class Assignment,0.5,Social Work,Student
9/2/2022,Class Assignment,0.5,Social Work,Student
9/2/2022,Class Assignment,0.75,Pharmacy,Student
9/2/2022,Research,0.25,Pharmacy,Student
8/31/2022,Other,1,Social Work,Student
8/31/2022,Other,0.5,Medicine,Student
8/31/2022,Research,0.75,Medicine,Faculty
8/30/2022,Research,0.75,Medicine,Staff
8/30/2022,Other,1,Pharmacy,Student
8/30/2022,Other,0.5,Nursing,Student
8/24/2022,Research,1,Medicine,Student
8/23/2022,Research,1,Dental,Student
8/22/2022,Other,1,Social Work,Faculty
8/18/2022,Research,0.25,Social Work,Staff
8/18/2022,Class Assignment,0.75,Pharmacy,Student
8/16/2022,Research,0.75,Dental,Student
8/12/2022,Class Assignment,1,Medicine,Student
8/12/2022,Research,0.25,Pharmacy,Student
8/11/2022,Research,1,Dental,Faculty
8/11/2022,Research,0.5,Medicine,Staff
8/11/2022,Research,0.25,Pharmacy,Faculty
8/9/2022,Research,1,Medicine,Other
8/9/2022,Research,0.25,Medicine,Student
8/5/2022,Research,1,Medicine,Other
8/5/2022,Other,0.75,Pharmacy,Staff
8/4/2022,Other,0.5,Medicine,Staff
8/4/2022,Other,0.5,Pharmacy,Faculty
8/4/2022,Research,0.25,Medicine,Student
8/4/2022,Research,0.25,Medicine,Staff
8/3/2022,Research,0.5,Nursing,Faculty
8/2/2022,Research,0.5,Medicine,Other
8/1/2022,Class Assignment,1,Dental,Student
8/1/2022,Other,0.5,Social Work,Faculty
7/28/2022,Other,0.5,Medicine,Faculty
7/28/2022,Research,1,Medicine,Other
7/28/2022,Other,0.25,Medicine,Staff
7/25/2022,Research,1,Graduate School,Faculty
7/22/2022,Research,1,Pharmacy,Staff
7/21/2022,Research,0.75,Social Work,Staff
7/19/2022,Research,1,Dental,Student
7/19/2022,Class Planning with Faculty,0.5,Social Work,Faculty
7/18/2022,Other,0.5,Medicine,Staff
7/18/2022,Research,0.5,Nursing,Student
7/15/2022,Class Assignment,0.25,Nursing,Student
7/15/2022,Class Assignment,0.5,Nursing,Student
7/13/2022,Research,0.5,Medicine,Staff
7/11/2022,Class Assignment,0.5,Nursing,Student
7/11/2022,Research,0.25,Medicine,Other
7/8/2022,Research,0.5,Nursing,Faculty
7/7/2022,Research,0.5,Graduate School,Faculty
7/7/2022,Research,0.5,Nursing,Faculty
7/6/2022,Research,0.25,Social Work,Staff
7/6/2022,Research,1,Social Work,Faculty
7/6/2022,Class Assignment,0.75,Nursing,Student
7/6/2022,Class Assignment,0.5,Nursing,Student
7/1/2022,Research,0.75,Social Work,Staff
6/30/2022,Research,0.25,Pharmacy,Student
6/29/2022,Class Assignment,0.75,Nursing,Student
6/29/2022,Class Assignment,0.25,Nursing,Student
6/28/2022,Research,0.25,Nursing,Student
6/28/2022,Research,0.75,Social Work,Staff
6/28/2022,Research,1,Medicine,Faculty
6/28/2022,Class Assignment,0.25,Nursing,Student
6/27/2022,Class Assignment,0.5,Nursing,Student
6/27/2022,Research,1.5,Dental,Student
6/27/2022,Class Assignment,0.5,Nursing,Student
6/24/2022,Research,1,Medicine,Student
6/24/2022,Research,0.25,Social Work,Student
6/23/2022,Class Assignment,0.5,Nursing,Student
6/23/2022,Class Assignment,1,Nursing,Student
6/22/2022,Research,1,Medicine,Faculty
6/22/2022,Grant-Related,1.5,Social Work,Staff
6/22/2022,Research,0.5,Social Work,Student
6/22/2022,Other,0.25,Medicine,Student
6/21/2022,Class Assignment,0.25,Nursing,Student
6/21/2022,Class Assignment,0.5,Social Work,Student
6/16/2022,Research,0.5,Pharmacy,Staff
6/16/2022,Class Assignment,1,Social Work,Student
6/15/2022,Other,1,Medicine,Faculty
6/15/2022,Research,0.25,Nursing,Student
6/14/2022,Class Assignment,1,Nursing,Student
6/10/2022,Class Assignment,0.5,Nursing,Student
6/10/2022,Class Assignment,0.5,Social Work,Student
6/8/2022,Class Assignment,0.5,Pharmacy,Student
6/7/2022,Research,1,Medicine,Faculty
6/7/2022,Research,0.75,Nursing,Student
6/1/2022,Class Assignment,1,Social Work,Student
6/1/2022,Class Assignment,1,Social Work,Student
5/31/2022,Research,0.5,Medicine,Student
5/27/2022,Research,0.5,Medicine,Faculty
5/26/2022,Class Assignment,1,Social Work,Student
5/26/2022,Research,0.5,Medicine,Faculty
5/24/2022,Research,1,Pharmacy,Student
5/23/2022,Research,0.25,Medicine,Faculty
5/19/2022,Other,0.5,Social Work,Student
5/19/2022,Class Assignment,1,Social Work,Student
5/17/2022,Research,0.25,Medicine,Staff
5/16/2022,Research,0.5,Graduate School,Student
5/12/2022,Class Assignment,1,Social Work,Student
5/12/2022,Other,0.5,Social Work,Student
5/9/2022,Class Assignment,3,Medicine,Student
5/9/2022,Class Assignment,2,Medicine,Student
5/9/2022,Class Assignment,2.5,Medicine,Student
5/7/2022,Class Assignment,2.5,Medicine,Student
5/6/2022,Class Assignment,0.25,Pharmacy,Student
5/5/2022,Class Assignment,2,Medicine,Student
4/29/2022,Research,0.25,Medicine,Faculty
4/28/2022,Research,0.25,Medicine,Faculty
4/28/2022,Research,0.5,Medicine,Staff
4/25/2022,Research,1,Social Work,Student
4/25/2022,Research,0.3,Nursing,Faculty
4/21/2022,Research,0.5,Medicine,Other
4/21/2022,Class Assignment,0.75,Social Work,Student
4/20/2022,Research,0.25,Medicine,Other
4/19/2022,Research,0.45,UMMC,Staff
4/18/2022,Research,0.25,Nursing,Faculty
4/12/2022,Research,0.5,Pharmacy,Faculty
4/8/2022,Research,0.5,Medicine,Other
4/7/2022,Research,0.75,Medicine,Other
4/6/2022,Research,1,Medicine,Staff
4/6/2022,Research,0.75,Graduate School,Student
4/5/2022,Research,1,Pharmacy,Staff
4/4/2022,Class Assignment,0.5,Social Work,Student
4/1/2022,Research,0.25,Pharmacy,Student
3/31/2022,Research,1,Dental,Student
3/31/2022,Research,0.5,Dental,Student
3/30/2022,Class Assignment,0.5,Nursing,Student
3/29/2022,Research,1,Social Work,Staff
3/28/2022,Grant-Related,1,Social Work,Student
3/25/2022,Class Assignment,1,Nursing,Student
3/23/2022,Class Assignment,1,Nursing,Student
3/22/2022,Other,0.5,UMB,Staff
3/21/2022,Class Assignment,0.5,Nursing,Student
3/21/2022,Class Assignment,0.25,Nursing,Student
3/21/2022,Research,0.5,Nursing,Faculty
3/18/2022,Research,1,Medicine,Faculty
3/18/2022,Research,1.5,Nursing,Faculty
3/17/2022,Other,0.5,Medicine,Staff
3/14/2022,Class Assignment,0.5,Nursing,Student
3/14/2022,Research,1,Nursing,Faculty
3/14/2022,Class Assignment,0.25,Nursing,Student
3/11/2022,Class Assignment,0.75,Nursing,Student
3/11/2022,Class Assignment,0.25,Nursing,Student
3/10/2022,Class Assignment,0.5,Nursing,Student
3/10/2022,Class Assignment,0.5,Nursing,Student
3/10/2022,Class Assignment,0.25,Nursing,Student
3/10/2022,Class Assignment,0.75,Nursing,Student
3/10/2022,Class Assignment,0.5,Nursing,Student
3/9/2022,Research,0.5,Social Work,Staff
3/9/2022,Class Assignment,0.25,Nursing,Student
3/9/2022,Class Assignment,0.25,Nursing,Student
3/9/2022,Research,0.25,Nursing,Student
3/9/2022,Class Assignment,0.5,Nursing,Student
3/9/2022,Class Assignment,0.75,Nursing,Student
3/8/2022,Class Assignment,0.25,Nursing,Student
3/8/2022,Class Assignment,0.5,Nursing,Student
3/7/2022,Research,0.5,Pharmacy,Student
3/7/2022,Class Assignment,0.25,Nursing,Student
3/7/2022,Class Assignment,0.5,Nursing,Student
3/4/2022,Class Assignment,0.75,Medicine,Student
3/4/2022,Research,1,Nursing,Student
3/3/2022,Class Assignment,0.5,Nursing,Student
3/1/2022,Class Assignment,1,Social Work,Student
3/1/2022,Class Assignment,0.5,Social Work,Student
3/1/2022,Research,1,Medicine,Faculty
3/1/2022,Class Assignment,1,Nursing,Student
2/28/2022,Class Assignment,0.5,Nursing,Student
2/28/2022,Research,0.5,Medicine,Faculty
2/28/2022,Class Assignment,0.75,Nursing,Student
2/28/2022,Class Assignment,1,Nursing,Student
2/26/2022,Research,1.5,Medicine,Faculty
2/25/2022,Class Assignment,0.5,Pharmacy,Student
2/25/2022,Class Assignment,0.25,Nursing,Student
2/25/2022,Class Assignment,0.5,Nursing,Student
2/24/2022,Class Assignment,0.3,Medicine,Student
2/24/2022,Class Planning with Faculty,1,Dental,Faculty
2/24/2022,Class Assignment,0.5,Nursing,Student
2/23/2022,Research,1,Pharmacy,Staff
2/23/2022,Class Assignment,0.75,Social Work,Student
2/23/2022,Research,1,Social Work,Student
2/23/2022,Research,0.75,Nursing,Student
2/23/2022,Research,0.5,Nursing,Student
2/22/2022,Research,1,Pharmacy,Staff
2/22/2022,Class Assignment,0.25,Graduate School,Student
2/21/2022,Class Assignment,0.25,Nursing,Student
2/21/2022,Class Assignment,0.5,Nursing,Student
2/18/2022,Class Assignment,0.25,Nursing,Student
2/17/2022,Class Assignment,0.4,Nursing,Student
2/17/2022,Research,0.75,Medicine,Student
2/17/2022,Class Assignment,0.5,Pharmacy,Student
2/16/2022,Class Assignment,0.3,Medicine,Student
2/16/2022,Research,0.5,Medicine,Staff
2/16/2022,Class Planning with Faculty,0.5,Pharmacy,Faculty
2/16/2022,Research,1.5,Nursing,Faculty
2/16/2022,Class Assignment,0.5,Pharmacy,Student
2/16/2022,Class Assignment,1,Nursing,Student
2/16/2022,Class Assignment,0.5,Nursing,Student
2/15/2022,Class Assignment,0.5,Nursing,Faculty
2/15/2022,Class Assignment,0.5,Nursing,Student
2/14/2022,Class Assignment,0.5,UMMC,Staff
2/11/2022,Research,1,Pharmacy,Staff
2/11/2022,Class Assignment,0.25,Pharmacy,Student
2/11/2022,Class Assignment,0.5,Pharmacy,Student
2/11/2022,Class Assignment,0.25,Nursing,Student
2/11/2022,Class Assignment,0.5,Social Work,Student
2/11/2022,Class Assignment,0.5,Nursing,Student
2/11/2022,Class Assignment,0.5,Nursing,Student
2/10/2022,Class Assignment,0.75,Nursing,Student
2/10/2022,Class Assignment,0.75,Nursing,Student
2/10/2022,Class Assignment,0.5,Nursing,Student
2/10/2022,Class Assignment,0.5,Nursing,Student
2/9/2022,Class Assignment,1,Nursing,Student
2/8/2022,Grant-Related,1,Nursing,Faculty
2/8/2022,Research,1,Dental,Student
2/8/2022,Class Assignment,0.25,Social Work,Student
2/8/2022,Other,0.5,Medicine,Faculty
2/8/2022,Research,0.5,Medicine,Student
2/7/2022,Class Assignment,0.5,Pharmacy,Student
2/7/2022,Research,0.5,Nursing,Student
2/7/2022,Research,1,Social Work,Student
2/4/2022,Class Assignment,0.5,Pharmacy,Student
2/4/2022,Class Assignment,0.25,Social Work,Student
2/3/2022,Class Planning with Faculty,1,Nursing,Faculty
2/3/2022,Class Assignment,0.25,Nursing,Student
2/3/2022,Class Assignment,0.25,Nursing,Student
2/2/2022,Class Assignment,0.5,Nursing,Student
2/2/2022,Class Assignment,0.25,Nursing,Student
2/1/2022,Class Assignment,0.5,Nursing,Student
1/31/2022,Grant-Related,0.5,Social Work,Student
1/31/2022,Other,1,Dental,Faculty
1/28/2022,Class Planning with Faculty,0.5,Pharmacy,Faculty
1/28/2022,Research,0.25,Medicine,Faculty
1/27/2022,Research,0.5,Medicine,Faculty
1/26/2022,Class Assignment,0.5,Nursing,Student
1/25/2022,Class Assignment,0.5,Social Work,Student
1/21/2022,Research,0.5,Pharmacy,Other
1/21/2022,Other,1.25,Pharmacy,Student
1/19/2022,Class Planning with Faculty,0.5,Nursing,Faculty
1/18/2022,Research,0.5,Nursing,Student
1/13/2022,Research,0.5,Social Work,Student
1/12/2022,Other,0.25,UMMC,Staff
1/10/2022,Research,1.5,Pharmacy,Staff
1/10/2022,Research,0.5,Pharmacy,Staff
1/5/2022,Research,0.5,Dental,Other
12/16/2021,Research,0.25,Nursing,Student
12/15/2021,Other,0.25,Medicine,Other
12/13/2021,Research,0.5,Medicine,Staff
12/9/2021,Research,1.5,Nursing,Faculty
12/9/2021,Research,0.25,Nursing,Student
12/8/2021,Research,1,Medicine,Faculty
12/7/2021,Research,0.5,Nursing,Student
12/1/2021,Research,1,Pharmacy,Other
11/30/2021,Class Assignment,1,Nursing,Student
11/29/2021,Research,0.75,Pharmacy,Student
11/17/2021,Research,1,Pharmacy,Other
11/17/2021,Other,0.5,Medicine,Staff
11/11/2021,Research,0.25,Nursing,Student
11/11/2021,Research,1,Medicine,Student
11/11/2021,Research,0.5,Medicine,Student
11/10/2021,Research,1,Pharmacy,Other
11/8/2021,Class Assignment,0.5,Social Work,Student
11/8/2021,Research,0.75,Pharmacy,Faculty
11/8/2021,Class Assignment,0.5,Nursing,Student
11/8/2021,Research,0.5,UMMC,Staff
11/4/2021,Class Assignment,0.5,Medicine,Student
11/4/2021,Class Assignment,0.75,Nursing,Student
11/4/2021,Research,1.25,Medicine,Faculty
11/1/2021,Research,1,Dental,Other
10/28/2021,Research,0.5,Medicine,Faculty
10/28/2021,Class Assignment,0.5,Nursing,Student
10/28/2021,Class Assignment,0.5,Nursing,Student
10/27/2021,Research,1,Pharmacy,Other
10/27/2021,Class Assignment,0.5,Social Work,Student
10/25/2021,Class Assignment,0.25,Nursing,Student
10/25/2021,Class Assignment,0.25,Nursing,Student
10/25/2021,Class Assignment,0.25,Nursing,Student
10/25/2021,Research,0.25,Medicine,Faculty
10/22/2021,Class Assignment,0.75,Medicine,Student
10/21/2021,Class Assignment,0.4,Nursing,Student
10/21/2021,Class Assignment,0.5,Nursing,Student
10/21/2021,Class Assignment,0.75,Nursing,Student
10/20/2021,Class Assignment,0.25,Social Work,Student
10/20/2021,Class Assignment,0.75,Nursing,Student
10/18/2021,Other,0.75,Social Work,Student
10/18/2021,Research,1,Medicine,Staff
10/18/2021,Research,0.5,Medicine,Student
10/18/2021,Research,0.5,UMMC,Staff
10/14/2021,Research,0.25,Medicine,Student
10/14/2021,Class Assignment,0.5,Nursing,Student
10/14/2021,Class Assignment,0.5,Nursing,Student
10/14/2021,Class Assignment,0.25,Nursing,Student
10/14/2021,Class Assignment,0.5,Nursing,Student
10/14/2021,Class Assignment,0.5,Nursing,Student
10/14/2021,Research,0.5,Nursing,Student
